"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","11562","","","","0"
"2008-02","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","8809","","","","0"
"2008-03","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","11552","","","","0"
"2008-04","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","7582","","","","0"
"2008-05","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","8993","","","","0"
"2008-06","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","4064","","","","0"
"2008-07","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","4888","","","","0"
"2008-08","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","3650","","","","0"
"2008-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","7206","","","","0"
"2008-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9570","","","","0"
"2008-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9059","","","","0"
"2008-12","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","10960","","","","0"
"2009-01","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9221","","","","0"
"2009-02","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","8944","","","","0"
"2009-03","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","7829","","","","0"
"2009-04","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","8476","","","","0"
"2009-05","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","6188","","","","0"
"2009-06","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","5741","","","","0"
"2009-07","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","4858","","","","0"
"2009-08","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","4694","","","","0"
"2009-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","5733","","","","0"
"2009-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9231","","","","0"
"2009-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","10967","","","","0"
"2009-12","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","12943","","","","0"
"2010-01","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9122","","","","0"
"2010-02","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","9966","","","","0"
"2010-03","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","11050","","","","0"
"2010-04","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","4466","","","","0"
"2010-05","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","8201","","","","0"
"2010-06","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","5450","","","","0"
"2010-07","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","5879","","","","0"
"2010-08","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","6429","","","","0"
"2010-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","7803","","","","0"
"2010-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","14766","","","","0"
"2010-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","13637","","","","0"
"2010-12","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","27743","","","","0"
"2011-01","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","22709","","","","0"
"2011-02","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","20724","","","","0"
"2011-03","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","38425","","","","0"
"2011-04","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","36586","","","","0"
"2011-05","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","33214","","","","0"
"2011-06","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","22031","","","","0"
"2011-07","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","22481","","","","0"
"2011-08","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","21797","","","","0"
"2011-09","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","22203","","","","0"
"2011-10","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","30964","","","","0"
"2011-11","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","36290","","","","0"
"2011-12","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","35159","","","","0"
"2012-01","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","41725","","","","0"
"2012-02","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","32650","","","","0"
"2012-03","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","37141","","","","0"
"2012-04","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","36614","","","","0"
"2012-05","Nova Scotia","2016A000212","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units","0","v44174725","4.1.8","32946","","","","0"
